Date,Ticker,Open,High,Low,Close,Returns
01/02/2009,_CNDD,429.72,446.28,425.62,444.46,3.430140557
01/05/2009,_CNDD,444.67,468,442.85,456.82,2.732363326
01/06/2009,_CNDD,467.5,492.39,461,486.19,3.997860963
01/07/2009,_CNDD,478.38,493.33,470.92,480.63,0.470337389
01/08/2009,_CNDD,477.09,484.13,470.25,483.55,1.354042214
01/09/2009,_CNDD,484.52,497.71,479.85,488.86,0.895731858
01/12/2009,_CNDD,486,495.48,469.89,474.93,-2.277777778
01/13/2009,_CNDD,475.52,484.66,467.32,473.95,-0.330164872
01/14/2009,_CNDD,471.99,477.02,457.64,459.68,-2.608106104
01/15/2009,_CNDD,465.75,497.58,456.22,494.12,6.091250671
01/16/2009,_CNDD,508.9,512.52,487.05,511.27,0.465710356
01/20/2009,_CNDD,517.11,525.88,491.95,498.91,-3.519560635
01/21/2009,_CNDD,507.79,525.52,498.56,523.75,3.143031568
01/22/2009,_CNDD,511.99,528.51,504.11,519.21,1.410183793
01/23/2009,_CNDD,510.02,534.78,508.04,525.4,3.015568017
01/26/2009,_CNDD,523.06,527.39,499.58,511.52,-2.206247849
01/27/2009,_CNDD,510.87,537.93,509.65,535.17,4.756591697
01/28/2009,_CNDD,547.48,558.8,539.51,557.77,1.879520713
01/29/2009,_CNDD,548.99,553.63,540.9,545.1,-0.708573927
01/30/2009,_CNDD,555.63,560.19,540.88,548.81,-1.227435524
02/02/2009,_CNDD,542.18,559.11,541.02,548.8,1.220996717
02/03/2009,_CNDD,550.65,552.75,537.9,547.45,-0.58113139
02/04/2009,_CNDD,545.92,560.34,543.47,550.61,0.859100234
02/05/2009,_CNDD,545.27,562.29,541.3,555.8,1.931153374
02/06/2009,_CNDD,562.47,581.56,560.35,575.7,2.352125447
02/09/2009,_CNDD,584.79,584.86,569.51,576.02,-1.499683647
02/10/2009,_CNDD,575.04,583.55,549.92,556.9,-3.154563161
02/11/2009,_CNDD,504.53,511.26,477.32,495.53,-1.783838424
02/12/2009,_CNDD,492.18,510.1,491.88,507.94,3.20208054
02/13/2009,_CNDD,500.41,503.91,485.2,493.06,-1.468795588
02/17/2009,_CNDD,476.77,478.26,460.29,460.52,-3.408352036
02/18/2009,_CNDD,467.84,467.84,438.58,439.4,-6.079001368
02/19/2009,_CNDD,441.03,446.58,430.87,435.3,-1.299231345
02/20/2009,_CNDD,421.91,425.89,406.09,411.58,-2.448389467
02/23/2009,_CNDD,417.15,417.35,393.38,394.86,-5.343401654
02/24/2009,_CNDD,396.85,418.52,396.85,415.04,4.583595817
02/25/2009,_CNDD,417.23,429.66,411.7,421.12,0.932339477
02/26/2009,_CNDD,425.8,429.8,407.71,408.85,-3.980742132
02/27/2009,_CNDD,407.76,418.14,401.01,410.56,0.686678438
03/02/2009,_CNDD,404.38,407.4,378.37,379.89,-6.056184777
03/03/2009,_CNDD,385.15,397.92,381.79,386.38,0.319356095
03/04/2009,_CNDD,398.7,415.09,396.7,408.36,2.422874342
03/05/2009,_CNDD,398.89,403.63,387.24,388.95,-2.491915064
03/06/2009,_CNDD,394.11,394.11,366.9,374.54,-4.965618736
03/09/2009,_CNDD,369.79,382.2,362.03,363.59,-1.676627275
03/10/2009,_CNDD,374.74,393.59,366.58,392.4,4.712600737
03/11/2009,_CNDD,400.32,409.06,396.29,404.77,1.111610711
03/12/2009,_CNDD,400.81,417.52,390.35,416.64,3.949502258
03/13/2009,_CNDD,412.51,413.34,399.64,408.83,-0.892099585
03/16/2009,_CNDD,407.27,418.12,399.77,401,-1.539519238
03/17/2009,_CNDD,404.36,421.51,397.75,421.47,4.23137798
03/18/2009,_CNDD,413.72,427.55,403.78,420.74,1.696799768
03/19/2009,_CNDD,432.33,444.28,428.45,436.41,0.943723545
03/20/2009,_CNDD,441.4,445.62,426.79,430.42,-2.487539647
03/23/2009,_CNDD,441.02,462.01,438.47,462.01,4.759421341
03/24/2009,_CNDD,454.63,463.2,447.55,457.99,0.739062534
03/25/2009,_CNDD,450.07,460.94,437.79,449.28,-0.175528251
03/26/2009,_CNDD,463.43,471.6,460.77,466.66,0.69697689
03/27/2009,_CNDD,465,475.19,462.43,464.37,-0.135483871
03/30/2009,_CNDD,451.55,452.09,439.43,446.91,-1.027571697
03/31/2009,_CNDD,452.04,457.8,446.62,448.07,-0.878240864
04/01/2009,_CNDD,447.1,471.35,445.45,469.01,4.900469694
04/02/2009,_CNDD,482.93,500.39,481.77,497.13,2.940384735
04/03/2009,_CNDD,581.99,586.64,564.53,574.11,-1.353975154
04/06/2009,_CNDD,566.2,610.44,563.68,606.79,7.168844931
04/07/2009,_CNDD,598.41,600.8,570.65,575,-3.912033556
04/08/2009,_CNDD,591.14,601.43,578.82,592.26,0.189464425
04/09/2009,_CNDD,610.36,615.35,601.08,613.3,0.481682941
04/13/2009,_CNDD,607.54,621.13,604.52,614.45,1.137373671
04/14/2009,_CNDD,612.56,622.15,608.39,616.97,0.719929476
04/15/2009,_CNDD,613.1,618.14,604.82,616.15,0.497471864
04/16/2009,_CNDD,623.43,645.73,622.03,642.26,3.020387213
04/17/2009,_CNDD,639.42,654.42,636.49,647.26,1.226111163
04/20/2009,_CNDD,634.64,641.23,615.66,619.06,-2.454935081
04/21/2009,_CNDD,612.82,635.83,611.22,633.61,3.392513299
04/22/2009,_CNDD,627.94,657.84,626.54,636.15,1.307449756
04/23/2009,_CNDD,649.4,654.58,636.89,646.13,-0.503541731
04/24/2009,_CNDD,660.43,661.6,648.66,653.2,-1.094741305
04/27/2009,_CNDD,642.49,665.21,641.7,658.14,2.435835577
04/28/2009,_CNDD,653.21,658.92,642.96,645.36,-1.201757475
04/29/2009,_CNDD,654.32,654.32,634.19,637.49,-2.572135958
04/30/2009,_CNDD,643.54,662.47,642.7,660.46,2.629207198
05/01/2009,_CNDD,666.52,691.21,666.52,683.68,2.574566405
05/04/2009,_CNDD,703.94,710.3,697.59,704.65,0.100860869
05/05/2009,_CNDD,714.44,715.02,706.15,714.41,-0.004199093
05/06/2009,_CNDD,727.1,737.96,716.31,730.19,0.424975932
05/07/2009,_CNDD,739.31,739.55,687.62,700.9,-5.195384886
05/08/2009,_CNDD,709.33,718.31,685.69,706.46,-0.404607165
05/11/2009,_CNDD,691.33,713.1,687.49,703.51,1.761821417
05/12/2009,_CNDD,710.4,710.73,669.83,693.08,-2.438063063
05/13/2009,_CNDD,680.71,689.73,664.52,665.98,-2.163917087
05/14/2009,_CNDD,669.08,687.48,666.7,681.85,1.908590901
