Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_MSCID,Moody's Commodity Index,Commodity Indices,United States Dollar,United States,,,,,,,Index Number,Units,Stock,none,Monthly From Jan 1928 To Dec 1979<BR>Daily From Jan 1980 To Nov 1987<BR>Monthly From Dec 1987 To Sep 1989<BR>Daily From Sep 1989 To Jan 2019<BR>,"Moody's daily commodity Index is an average price of 18 leading stable commodities in which thee is an active business and speculative interest.  The commodities included are corn, soybeans, wheat, coffee, hogs, steers, sugar, cotton, wool, aluminum, copper scrap, lead, steel scrap, zinc, rubber, hides and silver.  The index is based on daily closing spot prices.  The total is expressed as a relative number, with the base of December 31, 1931 = 100.  Daily figures have been compiled since September 1, 1932.  Prior to that date the index was extended back to January 1928 for Fridays only. Moody's Daily Index of Staple commodity Prices was revised in march 1975 back to March 1973 to include more representative spot prices of three component commodities, cotton, wool and silk.  The new figures are not strictly comparable with those prior to March 1973.  Beginning August 1975, Brazilian Parana spot coffee was substituted for Brazilian Santos 4 spot coffee, and in April 1985, the spot price for hides (heavy native steers) was substituted for hides (light native heifers).    Moody's Index of Scrap and Waste Materials' prices includes ten of the more important secondary materials that are sensitive to changing business conditions. The weights were selected to give extra emphasis to items of importance in the economy and to those that have tended to turn relatively early in past business cycles, and to de-emphasize the erratic and artificial fluctuations of other items. Components include steel scrap (17.5%), copper scrap (12.5%), brass scrap (10%), aluminum scrap (12.5%), roofing rags (17.5%), cotton rags (7.5%), wool rags (10%), waste newspaper (5%), waste mixed paper (5%), and rubber scrap (2.5%).  This index was discontinued in 1979 and replaced with Moody's Index of Scrap Commodities Prices because of the difficulty in obtaining quotes on some of the components.  The new index includes aluminum, lead, nickel, copper scrap, steel scrap and zinc.",
Date,Ticker,Open,High,Low,Close,Volume,Openint
01/02/2009,_MSCID,2948.5601,2948.5601,2948.5601,2948.5601,,
01/05/2009,_MSCID,2955.0701,2955.0701,2955.0701,2955.0701,,
01/06/2009,_MSCID,3049.74,3049.74,3049.74,3049.74,,
01/07/2009,_MSCID,3008.8401,3008.8401,3008.8401,3008.8401,,
01/08/2009,_MSCID,2973.3301,2973.3301,2973.3301,2973.3301,,
01/09/2009,_MSCID,3007.8,3007.8,3007.8,3007.8,,
01/12/2009,_MSCID,2939.54,2939.54,2939.54,2939.54,,
01/13/2009,_MSCID,2907.6699,2907.6699,2907.6699,2907.6699,,
01/14/2009,_MSCID,2939.54,2939.54,2939.54,2939.54,,
01/15/2009,_MSCID,2858.3201,2858.3201,2858.3201,2858.3201,,
01/16/2009,_MSCID,2908.52,2908.52,2908.52,2908.52,,
01/20/2009,_MSCID,2932.1499,2932.1499,2932.1499,2932.1499,,
01/21/2009,_MSCID,2939.1001,2939.1001,2939.1001,2939.1001,,
01/22/2009,_MSCID,2940.29,2940.29,2940.29,2940.29,,
01/26/2009,_MSCID,3036.3701,3036.3701,3036.3701,3036.3701,,
01/27/2009,_MSCID,3013.9299,3013.9299,3013.9299,3013.9299,,
01/28/2009,_MSCID,3018.1101,3018.1101,3018.1101,3018.1101,,
01/29/2009,_MSCID,2971.8501,2971.8501,2971.8501,2971.8501,,
01/30/2009,_MSCID,2971.5,2971.5,2971.5,2971.5,,
02/02/2009,_MSCID,2965.5701,2965.5701,2965.5701,2965.5701,,
02/03/2009,_MSCID,2976.3701,2976.3701,2976.3701,2976.3701,,
02/04/2009,_MSCID,2999.6899,2999.6899,2999.6899,2999.6899,,
02/05/2009,_MSCID,2997,2997,2997,2997,,
02/06/2009,_MSCID,3026.8999,3026.8999,3026.8999,3026.8999,,
02/09/2009,_MSCID,3050.3201,3050.3201,3050.3201,3050.3201,,
